seq	dofile	line	class	cmd	subtype	keys	master	usingfile	result	n_in	k_in	n_using	k_using	n_out	k_out	m1	m2	m3	m4	m5	dup_master	dup_using	force	opts	loop_n	loop_first	loop_last	severity	keytypes	cover_master	cover_using	lifecycle	flags
1	01_build.do	12	source	use	.	.	.	raw/cps_2019.dta	work	.	.	52431	24	52431	24	.	.	.	.	.	.	.	0	clear	.	.	.	note	.	.	.	read	.
2	01_build.do	15	join	append	.	.	work	raw/cps_`y'.dta	work	52431	24	157203	24	209634	24	.	.	.	.	.	.	.	0	.	3	raw/cps_2020.dta	raw/cps_2022.dta	note	.	.	.	.	.
3	01_build.do	22	join	merge	m:1	county	work	xwalk/county_key.dta	work	209634	24	254	3	209634	26	533	2	209101	.	.	0	0	0	keep(1 3) nogenerate	.	.	.	note	county: str5 vs str5	99.7	99.2	.	2 using-only dropped by keep(1 3)
4	01_build.do	27	filter	drop	if	.	work	.	work	209634	26	.	.	203115	26	.	.	.	.	.	.	.	0	if missing(wage)	.	.	.	warn	.	.	.	.	removed 6,519 rows (3.1%), 203,115 remaining
5	01_build.do	31	transform	collapse	.	county year	work	.	work	203115	26	.	.	3048	6	.	.	.	.	.	.	.	0	(mean) wage hours, by(county year)	.	.	.	note	.	.	.	.	.
6	01_build.do	33	save	save	.	.	work	.	built/county_panel.dta	3048	6	.	.	3048	6	.	.	.	.	.	.	.	0	replace	.	.	.	note	.	.	.	create	.
7	02_panel.do	8	source	use	.	.	.	raw/participants.dta	work	.	.	8914	12	8914	12	.	.	.	.	.	.	.	0	clear	.	.	.	note	.	.	.	read	.
8	02_panel.do	11	transform	duplicates	drop	pid	work	.	work	8914	12	.	.	8902	12	.	.	.	.	.	.	.	0	.	.	.	.	warn	.	.	.	.	12 duplicate pid obs dropped
9	02_panel.do	14	join	merge	1:m	pid	work	raw/visits.dta	work	8902	12	41210	6	41520	17	310	0	41210	.	.	0	32618	0	.	.	.	.	note	pid: long vs long	96.5	100.0	.	310 master-only kept (no visits)
10	02_panel.do	16	save	save	tempfile	.	work	.	tempfile:__visits	41520	17	.	.	41520	17	.	.	.	.	.	.	.	0	.	.	.	.	note	.	.	.	create	tempfile
11	02_panel.do	19	source	use	.	.	.	built/county_panel.dta	work	.	.	3048	6	3048	6	.	.	.	.	.	.	.	0	clear	.	.	.	note	.	.	.	read	.
12	02_panel.do	23	transform	reshape	wide	county year	work	.	work	3048	6	.	.	762	9	.	.	.	.	.	.	.	0	wage hours, i(county) j(year)	.	.	.	note	.	.	.	.	.
13	02_panel.do	26	save	save	.	.	work	.	built/county_wide.dta	762	9	.	.	762	9	.	.	.	.	.	.	.	0	replace	.	.	.	note	.	.	.	create	.
14	03_analyze.do	7	source	use	.	.	.	tempfile:__visits	work	.	.	41520	17	41520	17	.	.	.	.	.	.	.	0	clear	.	.	.	note	.	.	.	read	tempfile from 02_panel.do line 16
15	03_analyze.do	12	join	merge	m:1	county	work	built/county_wide.dta	work	41520	17	762	9	41520	25	95	0	41425	.	.	0	0	0	keep(1 3) nogenerate	.	.	.	note	county: str5 vs str5	99.8	94.1	.	95 master-only kept
16	03_analyze.do	18	join	joinby	m:m	staff	work	raw/staff_assign.dta	work	41520	25	118	4	44873	28	.	.	.	.	.	0	74	0	unmatched(none)	.	.	.	warn	staff: byte vs byte	100.0	100.0	.	row multiplication x1.08
17	03_analyze.do	24	join	merge	1:1	pid visitid	work	raw/corrections.dta	work	44873	28	400	5	44873	28	44473	0	0	350	50	0	0	0	update replace	.	.	.	warn	pid: long vs long	0.9	100.0	.	50 nonmissing conflicts overwritten
18	03_analyze.do	29	link	frlink	m:1	county	work	frame:counties	work	44873	28	254	7	44873	29	95	.	44778	.	.	0	0	0	frame(counties)	.	.	.	note	county: str5 vs str5	99.8	93.7	.	95 obs unmatched to frame
19	03_analyze.do	30	link	frget	.	.	work	frame:counties	work	44873	29	.	.	44873	31	.	.	.	.	.	.	.	0	povrate slots, from(cnty)	.	.	.	note	.	.	.	.	.
20	03_analyze.do	34	filter	keep	if	.	work	.	work	44873	31	.	.	44120	31	.	.	.	.	.	.	.	0	if inrange(year, 2019, 2022)	.	.	.	note	.	.	.	.	removed 753 rows (1.7%), 44,120 remaining
21	03_analyze.do	36	join	merge	m:m	staff	work	raw/schedules.dta	work	44120	31	560	6	44120	33	210	4	43906	.	.	3110	102	1	force	.	.	.	stop	schednote: byte vs str8	99.5	99.3	.	!! m:m pairs rows by order within key (not a join); !! force: schednote str8 vs byte
22	03_analyze.do	40	save	save	.	.	work	.	built/analysis_file.dta	44120	33	.	.	44120	33	.	.	.	.	.	.	.	0	replace	.	.	.	note	.	.	.	create	.
