seq	dofile	line	class	cmd	subtype	keys	master	usingfile	result	n_in	k_in	n_using	k_using	n_out	k_out	m1	m2	m3	m4	m5	dup_master	dup_using	force	opts	loop_n	loop_first	loop_last	severity	keytypes	cover_master	cover_using	lifecycle	flags
1	01_build.do	12	source	use	.	.	.	raw/cps_2019.dta	work	.	.	.	.	.	.	.	.	.	.	.	.	.	0	clear	.	.	.	note	.	.	.	read	.
2	01_build.do	15	join	append	.	.	work	raw/cps_`y'.dta	work	.	.	.	.	.	.	.	.	.	.	.	.	.	0	.	3	raw/cps_2020.dta	raw/cps_2022.dta	note	.	.	.	.	.
3	01_build.do	22	join	merge	m:1	county	work	xwalk/county_key.dta	work	.	.	.	.	.	.	.	.	.	.	.	.	.	0	keep(1 3) nogenerate	.	.	.	note	.	.	.	.	keep(1 3): using-only will be dropped
4	01_build.do	27	filter	drop	if	.	work	.	work	.	.	.	.	.	.	.	.	.	.	.	.	.	0	if missing(wage)	.	.	.	note	.	.	.	.	.
5	01_build.do	31	transform	collapse	.	county year	work	.	work	.	.	.	.	.	.	.	.	.	.	.	.	.	0	(mean) wage hours, by(county year)	.	.	.	note	.	.	.	.	.
6	01_build.do	33	save	save	.	.	work	.	built/county_panel.dta	.	.	.	.	.	.	.	.	.	.	.	.	.	0	replace	.	.	.	note	.	.	.	create	.
7	02_panel.do	8	source	use	.	.	.	raw/participants.dta	work	.	.	.	.	.	.	.	.	.	.	.	.	.	0	clear	.	.	.	note	.	.	.	read	.
8	02_panel.do	11	transform	duplicates	drop	pid	work	.	work	.	.	.	.	.	.	.	.	.	.	.	.	.	0	.	.	.	.	note	.	.	.	.	.
9	02_panel.do	14	join	merge	1:m	pid	work	raw/visits.dta	work	.	.	.	.	.	.	.	.	.	.	.	.	.	0	.	.	.	.	note	.	.	.	.	.
10	02_panel.do	16	save	save	tempfile	.	work	.	tempfile:__visits	.	.	.	.	.	.	.	.	.	.	.	.	.	0	.	.	.	.	note	.	.	.	create	tempfile
11	02_panel.do	19	source	use	.	.	.	built/county_panel.dta	work	.	.	.	.	.	.	.	.	.	.	.	.	.	0	clear	.	.	.	note	.	.	.	read	.
12	02_panel.do	23	transform	reshape	wide	county year	work	.	work	.	.	.	.	.	.	.	.	.	.	.	.	.	0	wage hours, i(county) j(year)	.	.	.	note	.	.	.	.	.
13	02_panel.do	26	save	save	.	.	work	.	built/county_wide.dta	.	.	.	.	.	.	.	.	.	.	.	.	.	0	replace	.	.	.	note	.	.	.	create	.
14	03_analyze.do	7	source	use	.	.	.	tempfile:__visits	work	.	.	.	.	.	.	.	.	.	.	.	.	.	0	clear	.	.	.	note	.	.	.	read	tempfile from 02_panel.do line 16
15	03_analyze.do	12	join	merge	m:1	county	work	built/county_wide.dta	work	.	.	.	.	.	.	.	.	.	.	.	.	.	0	keep(1 3) nogenerate	.	.	.	note	.	.	.	.	.
16	03_analyze.do	18	join	joinby	m:m	staff	work	raw/staff_assign.dta	work	.	.	.	.	.	.	.	.	.	.	.	.	.	0	unmatched(none)	.	.	.	note	.	.	.	.	.
17	03_analyze.do	24	join	merge	1:1	pid visitid	work	raw/corrections.dta	work	.	.	.	.	.	.	.	.	.	.	.	.	.	0	update replace	.	.	.	warn	.	.	.	.	update replace
18	03_analyze.do	29	link	frlink	m:1	county	work	frame:counties	work	.	.	.	.	.	.	.	.	.	.	.	.	.	0	frame(counties)	.	.	.	note	.	.	.	.	.
19	03_analyze.do	30	link	frget	.	.	work	frame:counties	work	.	.	.	.	.	.	.	.	.	.	.	.	.	0	povrate slots, from(cnty)	.	.	.	note	.	.	.	.	.
20	03_analyze.do	34	filter	keep	if	.	work	.	work	.	.	.	.	.	.	.	.	.	.	.	.	.	0	if inrange(year, 2019, 2022)	.	.	.	note	.	.	.	.	.
21	03_analyze.do	36	join	merge	m:m	staff	work	raw/schedules.dta	work	.	.	.	.	.	.	.	.	.	.	.	.	.	1	force	.	.	.	warn	.	.	.	.	!! m:m pairs rows by row order within key (not a join); !! force used
22	03_analyze.do	40	save	save	.	.	work	.	built/analysis_file.dta	.	.	.	.	.	.	.	.	.	.	.	.	.	0	replace	.	.	.	note	.	.	.	create	.
